state,timestamp,keystroke_count,keystroke_rate,typing_speed_wpm,keystroke_variance,keystroke_burst_ratio,avg_inter_keystroke_time,keystroke_rhythm_std,mouse_movement_count,mouse_distance,mouse_velocity,mouse_velocity_std,mouse_acceleration,mouse_direction_changes,mouse_idle_ratio,click_count,click_rate,click_clustering,avg_click_interval,click_pattern_regularity,scroll_count,scroll_rate,scroll_intensity,scroll_direction_changes,app_switch_count,app_switch_rate,unique_apps_count,app_focus_stability,user_id,session_id
research_reading,2026-01-11T16:10:32.338087,13.056,0.133,0.0,0.092,0.23,0.192,0.114,415.442,7427.869,54.745,30.096,8.713,12.727,0.189,5.069,0.056,0.594,8.327,0.453,43.539,0.329,4.159,6.528,0.383,0.705,1.43,0.887,0,u0_s1
research_reading,2026-01-11T16:10:32.338087,25.388,0.143,7.182,0.058,0.119,0.392,0.185,501.179,9113.03,76.573,8.821,13.973,17.863,0.244,5.276,0.072,0.387,12.917,0.399,43.837,0.299,0.946,8.75,0.962,0.589,0.0,0.845,0,u0_s1
research_reading,2026-01-11T16:10:32.338087,24.86,0.138,9.115,0.043,0.109,0.375,0.16,305.597,7076.952,65.122,5.802,11.192,13.905,0.447,1.108,0.041,0.381,18.743,0.418,35.458,0.384,0.979,0.0,1.312,0.086,0.068,0.75,0,u0_s1
research_reading,2026-01-11T16:10:32.338087,43.024,0.244,3.716,0.011,0.077,0.379,0.047,621.582,8836.449,33.117,8.327,4.775,23.197,0.304,13.476,0.047,0.4,10.771,0.458,40.335,0.29,2.715,10.491,1.48,0.0,1.143,0.815,0,u0_s1
research_reading,2026-01-11T16:10:32.338087,30.415,0.045,9.786,0.044,0.0,0.303,0.091,498.658,4960.168,27.126,0.0,6.51,0.0,0.169,12.526,0.081,0.388,6.08,0.42,43.731,0.141,3.34,12.16,0.651,0.298,1.051,0.42,0,u0_s1
research_reading,2026-01-11T16:10:32.339087,15.204,0.104,3.846,0.023,0.102,0.125,0.224,466.058,5358.07,27.156,16.218,3.74,44.051,0.363,10.69,0.078,0.238,16.36,0.44,58.038,0.218,3.191,10.256,3.055,0.139,1.048,0.542,0,u0_s1
focused_work,2026-01-11T16:10:32.339087,166.007,1.241,49.226,0.028,0.402,0.055,0.047,394.308,3106.087,45.4,0.219,20.308,28.467,0.053,26.16,0.023,0.178,8.733,0.692,17.793,0.038,1.431,1.798,0.0,0.265,1.412,0.479,0,u0_s1
research_reading,2026-01-11T16:10:32.339087,31.245,0.0,8.513,0.069,0.118,0.181,0.171,328.838,2465.499,37.02,12.76,18.627,0.0,0.351,2.946,0.067,0.381,10.481,0.523,25.099,0.322,1.571,2.427,0.6,0.0,1.088,0.634,0,u0_s1
research_reading,2026-01-11T16:10:32.339087,45.261,0.263,6.933,0.035,0.058,0.236,0.311,429.852,7666.832,64.038,15.925,8.056,19.951,0.32,8.538,0.079,0.332,14.579,0.416,44.965,0.074,2.87,10.037,1.87,0.0,2.555,0.649,0,u0_s1
research_reading,2026-01-11T16:10:32.340088,1.818,0.177,5.212,0.026,0.172,0.26,0.189,234.988,6514.508,88.366,21.718,12.589,16.92,0.334,9.711,0.071,0.163,14.257,0.295,68.252,0.172,2.375,12.672,0.62,0.424,2.033,0.733,0,u0_s1
research_reading,2026-01-11T16:10:32.340088,27.698,0.232,0.7,0.063,0.142,0.24,0.255,350.054,6905.669,33.954,14.139,1.358,5.026,0.487,4.489,0.028,0.001,7.721,0.267,68.416,0.314,1.587,17.661,1.854,0.157,0.0,0.94,0,u0_s1
research_reading,2026-01-11T16:10:32.340088,0.0,0.0,8.719,0.0,0.273,0.393,0.199,458.882,5960.013,48.083,12.503,14.553,21.903,0.232,4.371,0.028,0.47,7.828,0.196,49.738,0.355,2.756,6.238,0.0,0.234,0.757,0.549,0,u0_s1
research_reading,2026-01-11T16:10:32.340088,31.608,0.053,5.342,0.0,0.122,0.281,0.189,406.149,10002.079,41.412,10.579,11.106,28.827,0.332,8.927,0.036,0.225,3.902,0.636,25.128,0.178,1.563,12.231,0.577,0.786,0.346,0.699,0,u0_s1
task_execution,2026-01-11T16:10:32.340088,189.335,0.266,19.901,0.006,0.235,0.101,0.14,813.354,4129.31,86.021,32.181,6.158,34.177,0.177,29.109,0.082,0.427,0.812,0.517,22.985,0.093,1.147,0.0,4.549,0.312,1.552,0.389,0,u0_s2
focused_work,2026-01-11T16:10:32.341088,182.596,1.319,19.641,0.014,0.442,0.014,0.055,455.723,2732.39,103.298,10.657,11.474,21.437,0.136,14.176,0.094,0.287,8.567,0.446,8.818,0.025,0.524,4.347,1.091,0.183,0.539,0.605,0,u0_s2
unproductive,2026-01-11T16:10:32.341088,29.749,0.281,7.871,0.151,0.03,0.493,0.134,739.198,12925.96,119.717,17.474,19.398,29.604,0.144,19.78,0.133,0.48,0.71,0.435,14.128,0.178,2.038,6.857,4.579,1.121,3.55,0.183,0,u0_s2
focused_work,2026-01-11T16:10:32.341088,250.788,1.329,34.662,0.004,0.458,0.05,0.021,386.607,3354.737,53.967,8.516,25.802,26.742,0.089,20.11,0.128,0.582,8.09,0.457,4.048,0.043,0.587,1.501,0.057,0.159,1.05,0.686,0,u0_s2
focused_work,2026-01-11T16:10:32.341088,48.059,1.337,34.354,0.002,0.413,0.028,0.014,374.675,3774.339,51.241,5.744,13.827,18.322,0.035,15.988,0.047,0.474,5.873,0.434,13.936,0.067,2.036,0.0,0.0,0.0,1.58,0.586,0,u0_s2
focused_work,2026-01-11T16:10:32.341088,133.92,1.411,38.161,0.005,0.1,0.043,0.055,185.065,5518.392,52.662,11.458,18.071,12.264,0.187,12.3,0.071,0.284,6.73,0.499,8.509,0.103,0.206,0.0,1.471,0.0,0.751,0.741,0,u0_s2
task_execution,2026-01-11T16:10:32.342088,36.462,0.433,16.837,0.039,0.411,0.123,0.102,689.77,6818.673,82.047,5.673,27.134,30.791,0.35,22.674,0.125,0.845,3.729,0.339,24.543,0.041,0.591,5.663,5.738,0.767,1.828,0.476,0,u0_s2
research_reading,2026-01-11T16:10:32.342088,6.43,0.212,2.112,0.003,0.206,0.236,0.125,571.791,7982.303,49.678,31.334,4.98,33.441,0.333,10.067,0.103,0.401,13.607,0.555,38.311,0.167,1.302,0.786,2.928,0.0,0.708,0.632,0,u0_s2
focused_work,2026-01-11T16:10:32.342088,125.445,1.523,34.521,0.013,0.442,0.038,0.08,318.952,6928.87,75.155,3.368,21.138,25.257,0.094,12.813,0.069,0.633,9.793,0.591,1.914,0.067,1.254,6.476,1.075,0.0,1.125,0.818,0,u0_s2
research_reading,2026-01-11T16:10:32.342088,33.058,0.242,6.402,0.041,0.0,0.253,0.077,285.483,8063.174,80.029,17.172,0.561,27.642,0.447,5.675,0.053,0.327,6.991,0.504,41.971,0.267,1.427,6.901,1.595,0.138,2.266,0.617,0,u0_s2
focused_work,2026-01-11T16:10:32.342088,107.53,1.686,45.537,0.003,0.475,0.042,0.049,249.38,9580.176,44.241,9.194,11.611,40.608,0.242,26.616,0.111,0.346,10.543,0.587,15.936,0.085,0.567,3.771,0.682,0.0,1.486,0.594,0,u0_s2
focused_work,2026-01-11T16:10:32.342088,148.17,1.224,31.114,0.025,0.422,0.033,0.099,455.059,6315.868,46.327,3.765,14.137,32.882,0.242,25.914,0.053,0.247,8.482,0.411,10.99,0.047,0.659,0.0,0.514,0.0,0.501,0.35,0,u0_s2
focused_work,2026-01-11T16:10:32.343088,202.757,1.135,9.118,0.009,0.449,0.069,0.054,223.17,5942.291,35.918,10.329,18.087,12.231,0.02,16.408,0.064,0.303,5.291,0.557,17.214,0.036,0.885,2.079,0.0,0.0,0.572,0.662,0,u0_s2
focused_work,2026-01-11T16:10:32.343088,196.839,0.78,27.856,0.018,0.233,0.06,0.003,379.599,5080.39,4.667,14.385,11.238,13.892,0.107,22.757,0.032,0.483,9.346,0.657,10.256,0.041,0.478,2.048,0.0,0.0,1.304,0.727,0,u0_s2
focused_work,2026-01-11T16:10:32.343088,280.966,0.938,26.402,0.011,0.498,0.055,0.024,327.068,3894.703,71.195,5.017,13.031,33.614,0.03,1.999,0.076,0.399,9.594,0.619,9.214,0.05,0.524,2.042,0.881,0.0,1.083,0.741,0,u0_s2
focused_work,2026-01-11T16:10:32.343088,217.744,1.283,20.582,0.019,0.292,0.091,0.076,288.224,7713.705,55.157,12.826,20.992,13.531,0.04,21.808,0.059,0.39,5.194,0.63,19.686,0.02,0.904,4.7,0.0,0.136,0.554,0.68,0,u0_s2
research_reading,2026-01-11T16:10:32.343088,0.0,0.087,4.481,0.037,0.23,0.318,0.081,462.028,7269.164,45.886,28.477,12.934,18.663,0.132,7.897,0.096,0.311,0.0,0.366,58.676,0.277,1.465,6.39,0.462,0.022,0.0,0.757,0,u0_s2
task_execution,2026-01-11T16:10:32.344088,150.709,0.714,15.121,0.029,0.268,0.06,0.104,392.989,12303.192,56.726,19.598,29.781,25.578,0.236,20.215,0.164,0.449,4.891,0.613,6.15,0.053,1.881,4.161,4.124,1.425,2.898,0.558,0,u0_s2
task_execution,2026-01-11T16:10:32.344088,111.335,0.644,12.447,0.024,0.1,0.019,0.096,734.934,9498.964,72.773,15.711,15.071,26.133,0.219,20.612,0.158,0.835,5.272,0.508,9.939,0.107,1.25,4.64,2.131,0.445,2.356,0.259,0,u0_s2
focused_work,2026-01-11T16:10:32.344088,177.659,0.933,23.546,0.02,0.53,0.052,0.038,339.961,7475.429,25.3,9.754,24.916,27.006,0.107,21.577,0.0,0.606,6.097,0.405,11.93,0.093,0.823,3.781,1.612,0.394,1.906,0.711,0,u0_s2
task_execution,2026-01-11T16:10:32.344088,61.807,0.52,15.996,0.0,0.313,0.091,0.15,661.516,15612.805,79.592,16.531,24.169,22.868,0.0,22.762,0.017,0.899,2.158,0.33,8.797,0.072,1.526,6.875,2.268,1.419,4.8,0.485,0,u0_s3
task_execution,2026-01-11T16:10:32.344088,93.207,0.557,13.519,0.014,0.191,0.119,0.092,855.023,8558.171,46.974,2.449,4.744,5.699,0.204,30.051,0.041,1.01,3.672,0.434,27.05,0.116,1.333,0.948,0.0,0.579,2.053,0.349,0,u0_s3
research_reading,2026-01-11T16:10:32.345088,30.826,0.096,8.062,0.08,0.18,0.024,0.162,486.403,7545.574,54.196,14.481,4.17,1.942,0.263,22.114,0.043,0.031,14.579,0.528,63.095,0.271,2.814,16.012,0.127,0.0,0.009,0.633,0,u0_s3
focused_work,2026-01-11T16:10:32.345088,264.144,1.335,34.171,0.009,0.44,0.07,0.0,463.39,1826.689,84.097,14.195,8.387,17.887,0.003,11.849,0.06,0.627,11.99,0.727,6.563,0.045,0.05,0.264,0.965,0.485,0.468,0.578,0,u0_s3
unproductive,2026-01-11T16:10:32.345591,84.301,0.07,7.266,0.033,0.091,0.318,0.177,748.715,6518.434,72.507,6.476,29.023,41.821,0.191,21.304,0.142,0.273,0.94,0.272,3.238,0.132,0.826,12.143,5.335,1.287,4.695,0.12,0,u0_s3
unproductive,2026-01-11T16:10:32.345591,1.357,0.12,5.135,0.0,0.15,0.169,0.211,1081.679,7233.478,0.0,29.243,55.23,82.856,0.045,23.875,0.074,0.703,9.201,0.069,30.75,0.152,3.092,6.243,5.507,1.114,3.258,0.192,0,u0_s3
unproductive,2026-01-11T16:10:32.345591,23.821,0.0,7.428,0.109,0.111,0.698,0.042,498.314,13470.166,54.334,37.14,0.0,98.008,0.141,30.848,0.08,0.859,6.896,0.336,25.252,0.11,3.01,15.184,5.16,3.463,2.492,0.322,0,u0_s3
unproductive,2026-01-11T16:10:32.345591,60.594,0.0,0.597,0.059,0.159,0.675,0.239,811.882,12975.729,58.523,40.012,49.82,58.775,0.287,25.991,0.115,1.056,3.859,0.131,25.749,0.067,1.331,5.273,2.206,1.198,0.013,0.248,0,u0_s3
unproductive,2026-01-11T16:10:32.345591,71.21,0.149,6.599,0.094,0.077,0.26,0.087,514.177,14402.693,59.102,31.209,48.026,38.121,0.231,3.5,0.091,0.758,3.959,0.054,42.143,0.059,2.341,5.883,7.594,3.694,0.918,0.162,0,u0_s3
task_execution,2026-01-11T16:10:32.346592,107.991,0.675,12.411,0.03,0.321,0.119,0.201,628.707,7213.263,74.288,0.0,18.045,23.322,0.125,26.487,0.079,1.066,4.639,0.419,11.53,0.087,2.099,1.02,2.106,0.87,0.918,0.365,0,u0_s3
research_reading,2026-01-11T16:10:32.346592,41.136,0.046,3.904,0.074,0.068,0.398,0.14,669.816,10513.674,5.079,18.192,3.597,24.605,0.334,3.447,0.089,0.355,9.492,0.373,45.882,0.266,2.037,0.0,0.889,0.0,0.717,0.497,0,u0_s3
research_reading,2026-01-11T16:10:32.346592,0.0,0.067,8.74,0.055,0.11,0.378,0.054,528.429,6402.317,55.043,5.439,0.0,32.122,0.365,4.213,0.031,0.493,4.968,0.623,30.276,0.285,1.875,11.064,0.328,0.222,0.917,0.545,0,u0_s3
research_reading,2026-01-11T16:10:32.346592,0.0,0.0,3.729,0.0,0.149,0.0,0.139,374.815,7936.882,37.239,30.157,11.859,34.95,0.255,9.327,0.104,0.289,11.877,0.544,32.652,0.061,2.342,12.606,0.0,0.555,1.426,0.393,0,u0_s3
research_reading,2026-01-11T16:10:32.347593,1.862,0.102,0.0,0.04,0.219,0.287,0.163,183.537,5050.824,28.901,11.472,20.381,28.999,0.216,9.956,0.072,0.496,18.818,0.304,31.623,0.133,1.95,10.516,1.86,0.257,0.629,0.684,0,u0_s3
research_reading,2026-01-11T16:10:32.347593,0.0,0.097,4.496,0.063,0.087,0.04,0.103,406.256,8695.548,22.84,31.515,0.0,15.543,0.319,7.72,0.02,0.392,12.771,0.432,48.763,0.2,0.844,5.784,1.029,0.352,0.918,0.731,0,u0_s3
meeting_communication,2026-01-11T16:10:32.347593,1.653,0.082,2.665,0.05,0.077,1.076,0.189,169.197,43.42,0.0,11.346,12.812,13.029,0.503,4.988,0.005,0.268,24.211,0.572,1.947,0.039,0.297,0.87,2.1,0.0,0.83,0.81,0,u0_s3
meeting_communication,2026-01-11T16:10:32.347593,0.0,0.0,3.35,0.081,0.053,0.711,0.327,64.235,2593.045,0.0,16.784,0.0,4.503,0.469,0.0,0.031,0.221,15.637,0.464,14.214,0.048,1.526,0.0,0.958,0.234,0.857,0.974,0,u0_s3
meeting_communication,2026-01-11T16:10:32.347593,4.289,0.0,2.571,0.025,0.069,0.801,0.166,0.0,2281.751,26.452,10.938,11.57,1.615,0.622,9.761,0.0,0.234,13.119,0.61,6.036,0.017,0.202,1.071,0.0,0.0,1.245,0.769,0,u0_s3
task_execution,2026-01-11T16:10:32.348593,90.358,0.741,11.967,0.0,0.357,0.104,0.072,399.526,13119.349,6.507,11.602,29.125,56.494,0.216,29.767,0.092,0.928,4.849,0.261,20.496,0.119,2.083,3.722,1.51,0.0,2.421,0.556,0,u0_s3
task_execution,2026-01-11T16:10:32.348593,140.248,0.56,19.767,0.034,0.313,0.112,0.066,486.1,5439.691,92.891,25.375,31.875,54.579,0.177,31.651,0.066,0.689,6.029,0.504,11.801,0.078,0.459,2.551,5.203,1.485,2.764,0.452,0,u0_s3
task_execution,2026-01-11T16:10:32.348593,173.196,0.522,16.089,0.026,0.295,0.129,0.051,527.864,5388.73,34.827,21.352,36.1,19.72,0.255,36.08,0.217,0.803,3.359,0.319,5.338,0.13,0.46,7.275,1.686,0.603,2.112,0.377,0,u0_s4
task_execution,2026-01-11T16:10:32.348593,137.706,0.291,23.458,0.018,0.216,0.092,0.111,737.455,13085.651,60.92,4.326,21.42,33.366,0.081,15.392,0.138,0.774,4.704,0.344,12.309,0.044,2.144,6.728,0.0,0.432,0.767,0.382,0,u0_s4
task_execution,2026-01-11T16:10:32.348593,30.529,0.488,22.021,0.0,0.279,0.099,0.087,597.699,9332.135,42.802,32.572,41.355,47.31,0.279,9.214,0.167,0.95,1.565,0.398,16.367,0.147,2.028,1.028,6.813,1.113,2.008,0.415,0,u0_s4
unproductive,2026-01-11T16:10:32.349593,0.0,0.34,5.825,0.118,0.009,0.431,0.17,711.924,9432.909,84.023,45.924,27.551,11.558,0.343,32.723,0.033,0.942,2.907,0.245,31.236,0.103,1.223,3.089,1.835,0.674,2.753,0.155,0,u0_s4
research_reading,2026-01-11T16:10:32.349593,52.887,0.212,5.606,0.059,0.0,0.315,0.258,474.763,6977.569,81.079,12.534,5.172,24.153,0.404,0.135,0.066,0.446,9.567,0.559,53.403,0.405,1.537,11.974,0.0,0.0,0.0,0.73,0,u0_s4
research_reading,2026-01-11T16:10:32.349593,24.272,0.058,6.962,0.034,0.083,0.288,0.0,370.486,4867.408,25.953,25.563,0.076,32.065,0.299,7.325,0.081,0.376,13.768,0.542,38.816,0.185,1.269,5.349,3.821,0.785,0.0,0.507,0,u0_s4
focused_work,2026-01-11T16:10:32.349593,159.069,1.55,22.924,0.0,0.429,0.054,0.075,118.929,2350.325,53.551,10.65,23.891,23.743,0.105,10.453,0.136,0.25,9.136,0.489,12.048,0.021,1.264,2.099,1.745,0.0,1.298,0.559,0,u0_s4
focused_work,2026-01-11T16:10:32.349593,178.078,1.977,35.552,0.0,0.302,0.074,0.106,174.358,1391.824,109.25,10.51,10.168,27.341,0.0,13.595,0.086,0.655,5.018,0.596,4.747,0.059,0.444,1.059,0.0,0.195,1.515,0.613,0,u0_s4
focused_work,2026-01-11T16:10:32.349593,58.233,1.327,31.722,0.003,0.562,0.073,0.01,416.78,7640.669,57.082,10.369,19.821,1.136,0.076,11.657,0.13,0.537,7.167,0.579,14.491,0.046,0.543,1.324,0.941,0.149,1.108,0.656,0,u0_s4
focused_work,2026-01-11T16:10:32.350593,164.485,1.609,28.153,0.0,0.421,0.041,0.008,270.521,4782.622,34.979,0.0,24.291,34.743,0.143,4.467,0.064,0.469,9.856,0.655,5.703,0.054,1.12,4.787,0.705,0.237,1.127,0.778,0,u0_s4
focused_work,2026-01-11T16:10:32.350593,246.185,1.707,26.323,0.016,0.374,0.051,0.054,354.756,6234.488,96.373,12.482,19.599,40.641,0.18,12.829,0.024,0.273,10.859,0.525,4.333,0.029,0.548,3.577,0.0,0.0,1.101,0.659,0,u0_s4
focused_work,2026-01-11T16:10:32.350593,168.506,1.402,40.333,0.004,0.444,0.032,0.07,350.14,6258.175,17.853,4.086,21.892,12.511,0.128,2.631,0.106,0.224,9.716,0.65,5.89,0.069,1.022,0.798,0.0,0.0,1.26,0.48,0,u0_s4
focused_work,2026-01-11T16:10:32.350593,130.705,1.598,37.454,0.007,0.312,0.067,0.022,345.492,7474.47,28.783,10.405,19.64,21.021,0.051,23.287,0.048,0.108,9.981,0.468,12.833,0.092,1.207,4.018,2.02,0.29,1.251,0.8,0,u0_s4
unproductive,2026-01-11T16:10:32.350593,80.202,0.089,15.312,0.049,0.213,0.562,0.047,740.393,2510.91,121.873,46.812,24.751,46.16,0.363,13.851,0.044,1.179,7.838,0.219,39.843,0.213,1.264,3.91,8.276,3.191,3.698,0.139,0,u0_s4
task_execution,2026-01-11T16:10:32.351593,138.531,0.609,19.894,0.047,0.355,0.102,0.052,1029.137,5430.605,62.809,1.039,32.847,31.728,0.254,7.573,0.176,0.584,4.34,0.513,16.243,0.094,2.08,4.908,2.74,0.966,2.476,0.358,0,u0_s4
research_reading,2026-01-11T16:10:32.351593,40.508,0.138,6.844,0.044,0.123,0.207,0.129,341.683,4725.282,33.862,1.625,6.199,18.888,0.302,7.516,0.055,0.396,15.288,0.348,25.738,0.15,1.748,7.243,0.102,0.0,0.52,0.687,0,u0_s4
research_reading,2026-01-11T16:10:32.351593,12.999,0.146,7.026,0.034,0.0,0.262,0.253,414.89,7182.772,11.706,4.689,10.272,5.19,0.405,4.49,0.057,0.042,8.946,0.284,8.956,0.277,3.45,13.169,1.554,0.122,1.529,0.812,0,u0_s4
